2 8.511 8.563 8.701 8.747 8.676 8.686 8.874 8.612 8.563 8.550 100000
4 5.553 5.652 5.587 5.602 5.661 5.523 5.670 5.554 5.642 5.745 100000
8 4.508 4.287 4.191 4.469 4.323 4.390 4.354 4.343 4.371 4.304 100000
